Sample,Rate,Tide,Time
F5H,Fast,High,T0
F7H,Fast,High,T0
F11L,Fast,Low,T0
F19L,Fast,Low,T0
M5H,Mid,High,T0
M7H,Mid,High,T0
M11L,Mid,Low,T0
M19L,Mid,Low,T0
S5H,Slow,High,T0
S7H,Slow,High,T0
S11L,Slow,Low,T0
S19L,Slow,Low,T0
F24H,Fast,High,T1
F29H,Fast,High,T1
F30H,Fast,High,T1
F33L,Fast,Low,T1
F35L,Fast,Low,T1
F37L,Fast,Low,T1
M42H,Mid,High,T1
M44H,Mid,High,T1
M48H,Mid,High,T1
M51L,Mid,Low,T1
M54L,Mid,Low,T1
M55L,Mid,Low,T1
S59H,Slow,High,T1
S63H,Slow,High,T1
S65H,Slow,High,T1
S67L,Slow,Low,T1
S69L,Slow,Low,T1
S74L,Slow,Low,T1
F26H,Fast,High,T2
F27H,Fast,High,T2
F28H,Fast,High,T2
F31L,Fast,Low,T2
F34L,Fast,Low,T2
F36L,Fast,Low,T2
M45H,Mid,High,T2
M46H,Mid,High,T2
M47H,Mid,High,T2
M50L,Mid,Low,T2
M53L,Mid,Low,T2
M56L,Mid,Low,T2
S62H,Slow,High,T2
S64H,Slow,High,T2
S66H,Slow,High,T2
S70L,Slow,Low,T2
S71L,Slow,Low,T2
S73L,Slow,Low,T2
