Sample,Raw reads,Raw data,Effective(%),Error(%),Q20(%),Q30(%),GC(%)
C11L,51224496,7.7,96.73,0.03,97.92,93.55,35.33
C2H,44232260,6.6,96.98,0.03,97.64,93.2,34.17
C7H,43731400,6.6,96.31,0.03,97.9,93.45,34.1
C4H,44891460,6.7,96.91,0.03,97.69,93.02,34.51
C14L,50831792,7.6,97.28,0.03,97.76,93.11,34.51
C19L,45159130,6.8,96.27,0.03,97.8,93.33,34.58
C5H,48056852,7.2,97,0.03,97.82,93.26,35.19
F36L,51582170,7.7,97.19,0.03,97.78,93.19,35.3
S59H,55520550,8.3,95.94,0.03,97.58,93.35,35.73
F35L,51820954,7.8,97.41,0.03,97.47,92.54,35.25
S69L,43339438,6.5,97.34,0.03,97.6,92.96,35.22
M55L,40448632,6.1,96.86,0.03,97.68,92.98,35.57
S65H,43795704,6.6,97.11,0.03,97.53,93.07,35.78
M53L,47448480,7.1,97.54,0.03,97.64,92.89,35.08
S63H,44579206,6.7,96.66,0.03,97.72,93.12,35.46
F29H,50890236,7.6,96.72,0.03,97.56,92.7,35.12
F27H,45174918,6.8,97.45,0.03,97.75,93.12,35.14
F34L,41541168,6.2,98.08,0.02,98.15,94.17,35.41
M42H,48415520,7.3,97.6,0.03,97.77,93.14,34.52
M46H,46262660,6.9,96.83,0.03,97.72,93.09,35.68
M51L,44035732,6.6,97.56,0.03,97.62,92.75,34.99
S67L,48028692,7.2,96.82,0.03,97.52,93.07,35.2
F37L,43330644,6.5,96.18,0.03,97.55,92.63,35.53
M44H,48869042,7.3,97.31,0.03,97.95,93.57,35.44
F26H,42390272,6.4,96.53,0.03,97.59,92.77,35.64
F28H,42654562,6.4,97.75,0.03,97.63,92.85,35.23
M54L,45992060,6.9,96.93,0.03,97.82,93.31,35.1
C18L,48132970,7.2,96.8,0.03,97.09,91.52,34.2
F24H,48235468,7.2,97.53,0.03,97.68,92.98,34.97
S71L,41420556,6.2,97.72,0.03,97.61,92.78,35.26
S66H,45380256,6.8,97.6,0.03,97.73,93.05,34.65
F33L,47507440,7.1,96.56,0.03,97.59,93.14,35.49
M47H,45137582,6.8,97.92,0.03,97.62,92.84,35.33
F30H,54122278,8.1,96.67,0.03,97.46,92.52,35.29
S74L,47299894,7.1,96.5,0.03,97.71,93.4,35.4
M56L,46049920,6.9,97.42,0.03,97.65,92.93,35.41
S64H,45460918,6.8,97.33,0.03,97.65,92.95,35.75
S62H,44278194,6.6,97.68,0.03,97.68,92.92,35.44
S73L,43343080,6.5,96.45,0.03,97.75,93.49,36.12
F31L,47487204,7.1,97.19,0.03,97.75,93.1,34.69
M45H,49126602,7.4,96.72,0.03,97.64,92.84,35.74
S70L,44913756,6.7,97.44,0.03,97.62,92.83,34.96
M50L,47168236,7.1,97.41,0.03,97.32,92.2,34.83
M48H,46971282,7,97.86,0.03,97.8,93.19,34.94
,46506446.95,,,,,93.01977273,
,3308584.067,,,,,,
